Arrival time   Process   CPU burst   Waiting time
      33          0         315             0
      84          2          34           264
      38          1          47           344
     330         11         200            99
     525         17          62           104
     562         18         100           129
     177          5         245           614
     185          6         282           851
     499         16         303           819
     245          9         352          1376
     486         15         429          1487
     106          3         484          2296
     291         10         583          2595
     143          4         649          3326
     395         13         662          3723
     609         19         678          4171
     206          7         710          5252
     440         14         750          5728
     361         12         828          6557
     214          8         850          7532
